timestamp,flag,source,destination,qname,type,ttl,transaction ID
17:15:13,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,incoming.telemetry.mozilla.org.,AAAA,29,14953
17:15:13,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,telemetry-incoming.r53-2.services.mozilla.com.,AAAA,,18479
17:15:13,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,telemetry-incoming.r53-2.services.mozilla.com.,AAAA,138,18479
17:15:18,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,ppgauth.prismray.io.,AAAA,,30165
17:15:18,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,ppgauth.prismray.io.,AAAA,603,30165
17:15:21,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,i.ytimg.com.,HTTPS,,51796
17:15:21,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,i.ytimg.com.,A,,35049
17:15:21,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,i.ytimg.com.,AAAA,,25186
17:15:21,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,i.ytimg.com.,HTTPS,53,51796
17:15:21,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,i.ytimg.com.,AAAA,17,25186
17:15:21,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,i.ytimg.com.,A,300,35049
17:15:25,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,i1.ytimg.com.,HTTPS,,42600
17:15:25,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,i1.ytimg.com.,A,,13164
17:15:25,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,i1.ytimg.com.,AAAA,,4861
17:15:25,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,i1.ytimg.com.,HTTPS,11,42600
17:15:25,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,i1.ytimg.com.,A,143,13164
17:15:25,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,i1.ytimg.com.,AAAA,96,4861
17:15:27,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,yt3.ggpht.com.,HTTPS,,39502
17:15:27,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,yt3.ggpht.com.,A,,47112
17:15:27,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,yt3.ggpht.com.,AAAA,,9245
17:15:27,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,yt3.ggpht.com.,HTTPS,52,39502
17:15:27,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,yt3.ggpht.com.,AAAA,141,9245
17:15:27,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,yt3.ggpht.com.,A,130,47112
17:15:27,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,sponsor.ajay.app.,HTTPS,,63631
17:15:27,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,sponsor.ajay.app.,A,,53458
17:15:27,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,sponsor.ajay.app.,AAAA,,16065
17:15:27,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,sponsor.ajay.app.,A,26,53458
17:15:27,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,sponsor.ajay.app.,AAAA,135,16065
17:15:27,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,sponsor.ajay.app.,HTTPS,300,63631
17:15:32,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,www.youtube.com.,A,,42978
17:15:32,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,www.youtube.com.,AAAA,,41268
17:15:32,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,www.youtube.com.,A,265,42978
17:15:32,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,www.youtube.com.,AAAA,265,41268
17:15:33,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,rr2---sn-ni5f-t8gz.googlevideo.com.,A,,53993
17:15:33,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,rr2---sn-ni5f-t8gz.googlevideo.com.,AAAA,,46692
17:15:33,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,i.ytimg.com.,HTTPS,,64687
17:15:33,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,rr2---sn-ni5f-t8gz.googlevideo.com.,A,4580,53993
17:15:33,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,rr2---sn-ni5f-t8gz.googlevideo.com.,AAAA,4580,46692
17:15:33,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,i.ytimg.com.,HTTPS,41,64687
